student_id,first_name,last_name,thai_first_name,thai_last_name,gender,dob,tel,email,address
690013,Chatpol,Sorapinij,ฉัตรพล,สรพินิจ,M,2010-08-23,0865162033,690013@lreso.ac.th,183/17 ถ.พหลโยธิน แขวงบางเขน จังหวัดชลบุรี
690014,Tewika,Kittisompong,เทวิกา,กิติสมพงศ์,F,2011-01-06,0805472978,690014@lreso.ac.th,126/28 ถ.สุขุมวิท แขวงคลองสามวา จังหวัดนนทบุรี
690015,Chanaporn,Chitrapornchaiwat,ชนาพร,จิตราพรชัยวัฒน์,F,2012-02-21,0835557267,690015@lreso.ac.th,117/12 ถ.พหลโยธิน แขวงบางนา จังหวัดชลบุรี
690016,Tanakorn,Wongwarang,ธนากรณ์,วงวรางค์,M,2010-11-18,0851597386,690016@lreso.ac.th,173/47 ถ.พหลโยธิน แขวงบางนา จังหวัดกรุงเทพมหานคร
690017,Chanwit,Rassameechot,ชาญวิทย์,รัศมีโชติ,M,2012-08-22,0886827764,690017@lreso.ac.th,183/1 ถ.ลาดพร้าว แขวงดอนเมือง จังหวัดชลบุรี
690018,Natinee,Jantarasab,นาถินี,จันทรทรัพย์,F,2011-07-08,0898654459,690018@lreso.ac.th,133/46 ถ.สุขุมวิท แขวงดอนเมือง จังหวัดนนทบุรี
690019,Thawan,Wattanakijawech,ธาวัน,วัฒนกิจเวช,M,2011-09-23,0847383705,690019@lreso.ac.th,162/39 ถ.รังสิต แขวงบางนา จังหวัดกรุงเทพมหานคร
690020,Pawadee,Jittaworawetch,ภาวดี,จิตวรเวช,F,2012-01-03,0805797079,690020@lreso.ac.th,130/50 ถ.พระราม 2 แขวงบางเขน จังหวัดชลบุรี
690021,Wanwipa,Jantarasombat,วรรณวิภา,จันทรสมบัติ,F,2007-09-20,0828786946,690021@lreso.ac.th,22/31 ถ.พหลโยธิน แขวงคลองสามวา จังหวัดนนทบุรี
690022,Janat,Narinchanok,จณัตว์,นรินทร์ชนก,M,2010-04-10,0831328659,690022@lreso.ac.th,75/43 ถ.พหลโยธิน แขวงบางนา จังหวัดสมุทรปราการ
690023,Krongkwan,Wongsawatdikul,ครองขวัญ,วงศ์สวัสดิกุล,F,2011-03-20,0839194001,690023@lreso.ac.th,48/31 ถ.พหลโยธิน แขวงบางนา จังหวัดกรุงเทพมหานคร
690024,Nat ,Nantapinij,ณัฏฐ์,นันทพินิจ,M,2010-12-16,0893050027,690024@lreso.ac.th,35/12 ถ.สุขุมวิท แขวงบางเขน จังหวัดสมุทรปราการ
690025,Tanat,Laisri,ธนัท,ลายศรี,M,2011-04-27,0884862352,690025@lreso.ac.th,39/1 ถ.สุขุมวิท แขวงบางเขน จังหวัดนนทบุรี
690026,Chatthorn,Suwannachoti,ฉัตรธร,สุวรรณโชติ,M,2009-08-01,0859284137,690026@lreso.ac.th,160/40 ถ.รังสิต แขวงบางนา จังหวัดนนทบุรี
690027,Thammika,Treesup,ธรรมิกา,ตรีทรัพย์,F,2010-01-11,0851937274,690027@lreso.ac.th,82/30 ถ.รังสิต แขวงดอนเมือง จังหวัดสมุทรปราการ
690028,Taya,Pradubwongvarot,ธญา,ประดับวงศ์วรต,F,2006-04-17,0883444173,690028@lreso.ac.th,76/24 ถ.รังสิต แขวงดอนเมือง จังหวัดสมุทรปราการ
690029,Tanika,Prasertchaiwat ,ธนิกา,ประเสริฐชัยวัฒน์,F,2006-06-26,0861095093,690029@lreso.ac.th,154/31 ถ.ลาดพร้าว แขวงลาดกระบัง จังหวัดชลบุรี
690030,Rungsun,Satitayuth,รุ่งสันต์,สถิตายุธ,M,2009-12-26,0892173110,690030@lreso.ac.th,109/43 ถ.สุขุมวิท แขวงคลองสามวา จังหวัดกรุงเทพมหานคร
